metricName,metricType
Worker.ActiveRpcReadCount,COUNTER
Worker.ActiveRpcWriteCount,COUNTER
Worker.AsyncCacheDuplicateRequests,COUNTER
Worker.AsyncCacheFailedBlocks,COUNTER
Worker.AsyncCacheRemoteBlocks,COUNTER
Worker.AsyncCacheRequests,COUNTER
Worker.AsyncCacheSucceededBlocks,COUNTER
Worker.AsyncCacheUfsBlocks,COUNTER
Worker.BlockRemoverBlocksToRemovedCount,COUNTER
Worker.BlockRemoverRemovingBlocksSize,GAUGE
Worker.BlockRemoverTryRemoveBlocksSize,GAUGE
Worker.BlockRemoverTryRemoveCount,COUNTER
Worker.BlocksAccessed,COUNTER
Worker.BlocksCached,GAUGE
Worker.BlocksCancelled,COUNTER
Worker.BlocksDeleted,COUNTER
Worker.BlocksEvicted,COUNTER
Worker.BlocksEvictionRate,METER
Worker.BlocksLost,COUNTER
Worker.BlocksPromoted,COUNTER
Worker.BlocksReadLocal,COUNTER
Worker.BlocksReadRemote,COUNTER
Worker.BlocksReadUfs,COUNTER
Worker.BytesReadDirect,COUNTER
Worker.BytesReadDirectThroughput,METER
Worker.BytesReadDomain,COUNTER
Worker.BytesReadDomainThroughput,METER
Worker.BytesReadPerUfs,COUNTER
Worker.BytesReadRemote,COUNTER
Worker.BytesReadRemoteThroughput,METER
Worker.BytesReadUfsThroughput,METER
Worker.BytesWrittenDirect,COUNTER
Worker.BytesWrittenDirectThroughput,METER
Worker.BytesWrittenDomain,COUNTER
Worker.BytesWrittenDomainThroughput,METER
Worker.BytesWrittenPerUfs,COUNTER
Worker.BytesWrittenRemote,COUNTER
Worker.BytesWrittenRemoteThroughput,METER
Worker.BytesWrittenUfsThroughput,METER
Worker.CapacityFree,GAUGE
Worker.CapacityTotal,GAUGE
Worker.CapacityUsed,GAUGE
